maker,product_name,url,form,moisture_pct,protein_asfed,protein_dm,fat_dm,phosphorus_asfed,phosphorus_dm,calorie_density_100g,calorie_basis,is_therapeutic,phosphorus_disclosed,fetched_at
アイシア株式会社,MiawMiawスナッキー かつお味,https://www.aixia.jp/product/detail_4571104716181,ドライ,10.0,30.0,33.3,13.3,1.16%,1.3,,unknown,False,yes,2026-06-22
アイシア株式会社,MiawMiawスナッキー まぐろ味,https://www.aixia.jp/product/detail_4571104716198,ドライ,10.0,30.0,33.3,13.3,1.16%,1.3,,unknown,False,yes,2026-06-22
アイシア株式会社,MiawMiawスナッキー ローストチキン味,https://www.aixia.jp/product/detail_4571104716204,ドライ,10.0,30.0,33.3,13.3,1.16%,1.3,,unknown,False,yes,2026-06-22
アイシア株式会社,MiawMiawスナッキー 2種のアソート 焼きえび味・ほたて味,https://www.aixia.jp/product/detail_4571104716211,ドライ,10.0,30.0,33.3,13.3,1.16%,1.3,,unknown,False,yes,2026-06-22
アイシア株式会社,MiawMiawスナッキー 2種のアソート ビーフ味・チーズ味,https://www.aixia.jp/product/detail_4571104716228,ドライ,10.0,30.0,33.3,13.3,1.16%,1.3,,unknown,False,yes,2026-06-22
アイシア株式会社,MiawMiawスナッキー 4種のバラエティ まぐろ味・かつお味・焼きえび味・ほたて味,https://www.aixia.jp/product/detail_4571104716235,ドライ,10.0,30.0,33.3,13.3,1.16%,1.3,,unknown,False,yes,2026-06-22
アイシア株式会社,MiawMiawスナッキー 4種のバラエティ まぐろ味・ローストチキン味・ビーフ味・チーズ味,https://www.aixia.jp/product/detail_4571104716242,ドライ,10.0,30.0,33.3,13.3,1.16%,1.3,,unknown,False,yes,2026-06-22
いなばペットフード株式会社,CIAO プレミアム かつお節入り チキンミックス味 500g,https://www.inaba-petfood.co.jp/product/detail/CIAO%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0/11096,ドライ,10.0,30.0,33.3,13.3,,,350.0,per_100g,False,no,2026-06-22
いなばペットフード株式会社,CIAO プレミアム かつお節入り かつおミックス味 500g,https://www.inaba-petfood.co.jp/product/detail/CIAO%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0/11095,ドライ,10.0,30.0,33.3,13.3,,,350.0,per_100g,False,no,2026-06-22
いなばペットフード株式会社,CIAO プレミアム かつお節入り まぐろミックス味 500g,https://www.inaba-petfood.co.jp/product/detail/CIAO%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0/11094,ドライ,10.0,30.0,33.3,13.3,,,350.0,per_100g,False,no,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～る 乳酸菌入り まぐろバラエティ 40本入り,https://www.inaba-petfood.co.jp/product/detail/CIAO/10239,ウェット,91.0,7.0,77.8,2.2,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～る CIAO缶ちゅ～る まぐろ・かつおバラエティ 40本入り,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A1%E3%82%85%EF%BD%9E%E3%82%8B/8262,ウェット,88.0,9.5,79.2,3.3,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO ちゅ～る 1歳までの子ねこ用バラエティ 20本入り,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%A1%E3%82%85%EF%BD%9E%E3%82%8B/8261,ウェット,89.0,7.0,63.6,4.5,,,,per_piece,False,no,2026-06-22
いなばペットフード株式会社,CIAO 食塩無添加 高齢猫用 柔らかふわふわかつお節,https://www.inaba-petfood.co.jp/product/detail/CIAO+%E3%81%8B%E3%81%A4%E3%81%8A%E7%AF%80/6234,ドライ,20.0,65.0,81.2,3.6,,,,per_piece,False,no,2026-06-22
