maker,product_name,url,fields_found,has_analysis_section,is_therapeutic,disclosed_crude_protein,disclosed_crude_fat,disclosed_crude_fiber,disclosed_crude_ash,disclosed_moisture,disclosed_calorie,disclosed_phosphorus,disclosed_ingredients,crude_protein_value,crude_fat_value,crude_fiber_value,crude_ash_value,moisture_value,calorie_kcal,phosphorus_value,calcium_value,sodium_value,magnesium_value,ingredients_snippet,fetched_at
レッドハート株式会社,Kia Oraに新商品「ドッグ缶（ウェットフード）」登場 – RED HEART｜レッドハート株式会社,https://redheart.co.jp/release/7596/,7,True,False,yes,yes,yes,yes,yes,yes,no,yes,9.00%,5.0%,2.0%,3.0%,80.0%,100kcal/100g,,,,,ベニソン生肉、ベニソン肉汁、ベニソン内臓肉（肺、心臓、腎臓、肝臓）、ひよこ豆、レシチン、ミネラル類（塩化カリウム、硫酸マグネシウム、亜鉛タンパク質化合物、鉄タンパク質化合物、マンガンタンパク質化合物、銅タンパク質化合物、亜セレン酸ナトリウム）、乾燥ケルプ、ナトリウム、ビタミン類（塩化コリン、ビタミンE、ナイアシン、ビオ,2026-06-20
レッドハート株式会社,Haere Maiに新商品「ゴート・レバー」、「ベニソン・パディワック」登場 – RED HEART｜レッドハート株式会社,https://redheart.co.jp/release/7461/,6,True,False,yes,yes,yes,yes,yes,no,no,yes,58.0%,19.0%,1.0%,5.0%,11.0%,,,,,,ゴートレバー（肝臓） 商品情報 ヤギの肝臓を厚切りにして乾燥させたおやつ。噛み応えがあり、ビタミンAや、亜鉛、鉄分など栄養価の高い部位です。 ■与え方：おやつまたはトレーニングのご褒美として与えてください。与える時は、そばで適した管理をして、歯が弱い場合はご使用をお控えください。使用中に端がとがったり、喉に詰める危険性,2026-06-20
アイシア株式会社,国産 健康缶パウチ 水分補給 まぐろペースト｜商品詳細｜商品を探す｜アイシア株式会社｜ペットフード・キャットフードなら、あいする、しあわせ。AIXIA,https://www.aixia.jp/product/detail_4571104715368,11,True,False,yes,yes,yes,yes,yes,yes,yes,yes,6.1%,0.2%,0.1%,1.2%,91.4%,14kcal,0.07%,0.00%,0.11%,0.01%,魚介類（マグロ、まぐろエキス）、でん粉類、たんぱく加水分解物、果糖ぶどう糖液糖、増粘多糖類、グリシン、クエン酸Na 成分 たんぱく質：6.1%以上、脂質：0.2%以上、粗繊維：0.1%以下、灰分：1.2%以下、水分：91.4%以下 カロリー 14kcal/袋 賞味期限 製造より2年 印字例：2021.1.1（2019年,2026-06-21
アイシア株式会社,国産 健康缶パウチ 水分補給 まぐろムース｜商品詳細｜商品を探す｜アイシア株式会社｜ペットフード・キャットフードなら、あいする、しあわせ。AIXIA,https://www.aixia.jp/product/detail_4571104715375,11,True,False,yes,yes,yes,yes,yes,yes,yes,yes,6.1%,0.2%,0.1%,1.2%,91.4%,15kcal,0.07%,0.00%,0.11%,0.01%,魚介類（マグロ、まぐろエキス）、でん粉類、たんぱく加水分解物、果糖ぶどう糖液糖、増粘多糖類、グリシン、クエン酸Na 成分 たんぱく質：6.1%以上、脂質：0.2%以上、粗繊維：0.1%以下、灰分：1.2%以下、水分：91.4%以下 カロリー 15kcal/袋 賞味期限 製造より2年 印字例：2021.1.1（2019年,2026-06-21
アイシア株式会社,国産 健康缶パウチ 水分補給 まぐろフレーク｜商品詳細｜商品を探す｜アイシア株式会社｜ペットフード・キャットフードなら、あいする、しあわせ。AIXIA,https://www.aixia.jp/product/detail_4571104715382,11,True,False,yes,yes,yes,yes,yes,yes,yes,yes,8.4%,0.3%,0.1%,1.5%,89.7%,17kcal,0.10%,0.01%,0.15%,0.01%,魚介類（マグロ、まぐろエキス）、たんぱく加水分解物、果糖ぶどう糖液糖、増粘多糖類、グリシン、クエン酸Na 成分 たんぱく質：8.4%以上、脂質：0.3%以上、粗繊維：0.1%以下、灰分：1.5%以下、水分：89.7%以下 カロリー 17kcal/袋 賞味期限 製造より2年 印字例：2021.1.1（2019年1月1日製,2026-06-21
アイシア株式会社,国産 健康缶パウチ 水分補給 かつおペースト｜商品詳細｜商品を探す｜アイシア株式会社｜ペットフード・キャットフードなら、あいする、しあわせ。AIXIA,https://www.aixia.jp/product/detail_4571104716754,11,True,False,yes,yes,yes,yes,yes,yes,yes,yes,6.1%,0.2%,0.1%,1.2%,91.4%,14kcal,0.07%,0.01%,0.11%,0.01%,魚介類（カツオ、まぐろエキス）、でん粉類、たんぱく加水分解物、果糖ぶどう糖液糖、増粘多糖類、グリシン、クエン酸Na 成分 たんぱく質：6.1%以上、脂質：0.2%以上、粗繊維：0.1%以下、灰分：1.2%以下、水分：91.4%以下 カロリー 14kcal/袋 賞味期限 製造より2年 印字例：2021.1.1（2019年,2026-06-21
アイシア株式会社,国産 健康缶パウチ 水分補給 ささみペースト｜商品詳細｜商品を探す｜アイシア株式会社｜ペットフード・キャットフードなら、あいする、しあわせ。AIXIA,https://www.aixia.jp/product/detail_4571104716761,11,True,False,yes,yes,yes,yes,yes,yes,yes,yes,6.1%,0.2%,0.1%,1.2%,91.4%,14kcal,0.06%,0.00%,0.09%,0.01%,鶏ササミ、まぐろエキス、でん粉類、たんぱく加水分解物、果糖ぶどう糖液糖、増粘多糖類、グリシン、クエン酸Na 成分 たんぱく質：6.1%以上、脂質：0.2%以上、粗繊維：0.1%以下、灰分：1.2%以下、水分：91.4%以下 カロリー 14kcal/袋 賞味期限 製造より2年 印字例：2021.1.1（2019年1月1日,2026-06-21
アイシア株式会社,MiawMiawとびきり♪ まぐろ｜商品詳細｜商品を探す｜アイシア株式会社｜ペットフード・キャットフードなら、あいする、しあわせ。AIXIA,https://www.aixia.jp/product/detail_45182570,7,True,False,yes,yes,yes,yes,yes,yes,no,yes,10.0%,0.4%,0.1%,2.0%,88.7%,29kcal,,,,,魚介類（マグロ、フィッシュペプチド等）、たんぱく加水分解物、酵母エキス、オリゴ糖、増粘多糖類、調味料、ビタミンE 成分 たんぱく質：10.0%以上、脂質：0.4%以上、粗繊維：0.1%以下、灰分：2.0%以下、水分：88.7%以下 カロリー 29kcal/缶 賞味期限 製造より3年 印字例：2022.1.1（2019年,2026-06-21
アイシア株式会社,MiawMiawとびきり♪ ささみ入りまぐろ｜商品詳細｜商品を探す｜アイシア株式会社｜ペットフード・キャットフードなら、あいする、しあわせ。AIXIA,https://www.aixia.jp/product/detail_45182587,7,True,False,yes,yes,yes,yes,yes,yes,no,yes,10.0%,0.4%,0.1%,2.0%,88.7%,29kcal,,,,,魚介類（マグロ、フィッシュペプチド等）、鶏ささみ、たんぱく加水分解物、酵母エキス、オリゴ糖、増粘多糖類、調味料、ビタミンE 成分 たんぱく質：10.0%以上、脂質：0.4%以上、粗繊維：0.1%以下、灰分：2.0%以下、水分：88.7%以下 カロリー 29kcal/缶 賞味期限 製造より3年 印字例：2022.1.1（,2026-06-21
アイシア株式会社,MiawMiawとびきり♪ しらす入りまぐろ｜商品詳細｜商品を探す｜アイシア株式会社｜ペットフード・キャットフードなら、あいする、しあわせ。AIXIA,https://www.aixia.jp/product/detail_45182594,7,True,False,yes,yes,yes,yes,yes,yes,no,yes,10.0%,0.4%,0.1%,2.0%,88.7%,29kcal,,,,,魚介類（マグロ、フィッシュペプチド、しらす等）、たんぱく加水分解物、酵母エキス、オリゴ糖、増粘多糖類、調味料、ビタミンE 成分 たんぱく質：10.0%以上、脂質：0.4%以上、粗繊維：0.1%以下、灰分：2.0%以下、水分：88.7%以下 カロリー 29kcal/缶 賞味期限 製造より3年 印字例：2022.1.1（2,2026-06-21
